word,tmin,order,logfrqhal,sndpwr,phrases,bin
Alice,0.046,1,8.65,3.6215E-07,2,two
was,0.562721,2,14.56,3.8435E-09,1,one
beginning,0.784543,3,10.69,3.6865E-09,1,one
to,1.256929,4,16.35,3.9697E-09,1,one
get,1.352925,5,13.79,3.7747E-09,1,one
very,1.616327,6,13.28,4.0727E-09,1,one
tired,2.310749,7,9.86,3.6641E-09,2,two
of,2.799918,8,16.21,3.6231E-09,1,one
sitting,2.938712,9,10.08,3.9892E-09,1,one
by,3.30449,10,14.4,3.8321E-09,1,one
her,3.484082,11,13.3,4.2513E-09,1,one
sister,3.654596,12,9.75,3.8266E-09,2,two
on,4.106667,13,15.08,3.9676E-09,1,one
the,4.274286,14,16.96,3.9583E-09,1,one
bank,4.398799,15,12.88,3.9305E-09,8,three+
and,4.785961,16,16.19,3.8435E-09,1,one
of,4.908844,17,16.21,3.4868E-09,1,one
having,5.034329,18,12.03,3.6273E-09,1,one
nothing,5.435647,19,11.99,4.3142E-09,2,two
to,5.890613,20,16.35,3.7434E-09,1,one
do,6.051306,21,14.12,3.7962E-09,15,three+
once,7.147755,22,12.15,4.112E-09,1,one
or,7.380186,23,14.78,3.7316E-09,1,one
twice,7.4995,24,10.74,3.6962E-09,2,two
she,7.957925,25,13.1,3.9655E-09,2,two
peeped,8.261225,27,6.48,3.8228E-09,1,one
into,8.560545,28,13.24,4.0132E-09,1,one
the,8.776055,29,16.96,3.4724E-09,1,one
book,8.88381,30,12.16,3.963E-09,3,three+
her,9.231021,31,13.3,4.1766E-09,1,one
sister,9.31483,32,9.75,3.751E-09,2,two
was,9.709932,33,14.56,3.8532E-09,1,one
reading,9.961361,34,11.54,3.86E-09,1,one
but,10.811429,35,14.57,4.1365E-09,1,one
it,10.926947,36,15.37,4.0183E-09,2,two
had,11.014966,37,13.53,4.2754E-09,1,one
no,11.29034,38,13.96,3.7688E-09,1,one
pictures,11.422041,39,10.46,3.7696E-09,1,one
or,11.928449,40,14.78,3.6358E-09,1,one
conversations,12.033452,41,8.44,4.0744E-09,2,two
in,12.882923,42,15.9,3.9617E-09,1,one
it,13.013482,43,15.37,3.8718E-09,11,three+
and,13.777672,44,16.19,3.7422E-09,1,one
what,13.943927,45,14.1,3.5615E-09,2,two
’s,14.110704,46,15.68,3.9385E-09,1,one
the,14.226852,47,16.96,4.2914E-09,1,one
use,14.407012,48,13.43,4.0179E-09,2,two
of,14.726531,49,16.21,3.6337E-09,1,one
a,14.822313,50,16.18,3.9452E-09,1,one
book,15.034115,51,12.16,3.8397E-09,2,two
thought,15.430794,52,12.07,3.6886E-09,1,one
Alice,15.847213,53,8.65,3.5197E-09,5,three+
without,16.232225,54,12.45,3.6083E-09,1,one
pictures,16.567652,55,10.46,3.5104E-09,1,one
or,17.109154,56,14.78,3.8346E-09,1,one
conversation,17.266659,57,8.44,3.8435E-09,11,three+
So,19.526536,58,14.05,3.7008E-09,1,one
she,19.721958,59,13.1,3.7768E-09,2,two
was,19.926131,60,14.56,1.4583E-08,1,one
considering,20.17415,61,10.29,0.012323,1,one
in,20.928436,62,15.9,0.00017013,1,one
her,21.024218,63,13.3,0.012918,1,one
own,21.269652,64,12.56,0.0017603,1,one
mind,21.50313,65,11.78,0.0060602,7,three+
as,22.165075,66,14.79,0.014015,1,one
well,22.413062,67,13.22,0.0015584,1,one
as,22.641249,68,14.79,0.006255,2,two
she,22.736327,69,13.1,0.0058643,2,two
could,22.927891,70,13.21,0.000052977,1,one
for,23.382857,71,15.42,0.015868,1,one
the,23.51412,72,16.96,0.0081857,1,one
hot,23.598368,73,10.85,0.020678,1,one
day,23.897687,74,12.38,0.001269,5,three+
made,24.161089,75,12.51,0.0035437,1,one
her,24.364626,76,13.3,0.0016983,2,two
feel,24.483259,77,12,0.0082253,1,one
very,24.735783,78,13.28,0.000013203,1,one
sleepy,25.059048,79,7.09,0.0010982,1,one
and,25.541189,80,16.19,0.005671,1,one
stupid,25.680794,81,10.72,0.000011881,2,two
whether,26.878912,82,11.63,9.0654E-07,1,one
the,27.142313,83,16.96,3.0229E-06,1,one
pleasure,27.314162,84,9.73,0.0026486,2,two
of,27.776871,85,16.21,0.009104,1,one
making,27.884626,86,11.69,0.0035731,1,one
a,28.255783,87,16.18,2.8136E-06,1,one
daisy,28.376346,88,7.19,0.0081461,1,one
chain,28.818504,89,10.06,0.0010658,6,three+
would,29.297415,90,14.06,0.0018934,1,one
be,29.477007,91,14.95,0.0060536,1,one
worth,29.608708,92,11.31,0.000066212,10,three+
the,29.872109,93,16.96,0.0017416,1,one
trouble,29.95905,94,10.81,0.0006692,2,two
of,30.36463,95,16.21,0.00055254,1,one
getting,30.458776,96,11.99,1.0228E-06,1,one
up,30.840804,97,13.74,0.00011781,3,three+
and,31.021497,98,16.19,0.00049451,1,one
picking,31.177122,99,9.07,0.0034241,1,one
the,31.512381,100,16.96,0.000057993,1,one
daisies,31.586956,101,5.7,0.013625,6,three+
when,32.833264,102,13.76,0.00074419,2,two
suddenly,33.035638,103,9.96,0.0009193,2,two
a,34.074558,104,16.18,0.0038981,1,one
White,34.190765,105,11.92,0.0026644,1,one
Rabbit,34.565443,106,8.66,0.017017,2,two
with,34.972517,107,14.97,0.000083752,1,one
pink,35.140136,108,9.48,0.01633,1,one
eyes,35.511293,109,10.97,3.8635E-07,4,three+
ran,35.945261,110,10.34,0.00010213,1,one
close,36.157823,111,11.35,0.00072237,2,two
by,36.564898,112,14.4,0.00011419,1,one
her,36.768436,113,0,0.014636,11,three+
There,38.468572,114,14.09,4.3376E-07,2,two
was,38.632328,115,14.56,2.4958E-07,1,one
nothing,38.80381,116,11.99,2.8556E-07,2,two
so,39.174966,117,14.05,5.0908E-07,1,one
very,39.468477,118,13.28,6.6792E-07,1,one
remarkable,40.04898,119,8.36,0.017236,2,two
in,40.773225,120,14.5,0.017309,1,one
that,40.934966,121,15.48,0.0099405,6,three+
nor,41.820953,122,10.91,0.00037428,1,one
did,42.042964,123,12.85,8.2457E-07,1,one
Alice,42.204082,124,8.65,0.00012926,2,two
think,42.611157,125,13.39,0.0085044,1,one
it,42.802721,126,15.37,0.00051335,2,two
so,42.900757,127,14.05,0.0038045,1,one
very,43.133433,128,13.28,0.015229,2,two
much,43.473198,129,13.09,0.0077607,1,one
out,43.784524,130,13.9,0.013603,2,two
of,43.954431,131,16.21,0.00065942,1,one
the,44.059864,132,16.96,0.018301,1,one
way,44.155647,133,13.1,0.0081513,1,one
to,44.466939,134,16.35,0.0016697,1,one
hear,44.632655,135,11.41,0.0097849,1,one
the,44.802177,136,16.96,0.0069482,1,one
Rabbit,44.909932,137,8.66,0.0084911,2,two
say,45.258174,138,12.79,0.0082525,1,one
to,45.496599,139,16.35,0.0053049,1,one
itself,45.689575,140,11.24,0.0010399,15,three+
Oh,46.805793,141,11.64,2.2835E-06,2,two
dear,46.935658,142,10.29,0.017203,5,three+
Oh,47.651701,143,11.64,0.016817,2,two
dear,47.771429,144,10.29,0.018238,4,three+
I,48.307503,145,15.79,0.023727,2,two
shall,48.372361,146,11,0.0013869,1,one
be,48.573606,147,14.95,0.012924,1,one
late,48.718395,149,10.92,0.0027085,6,three+
when,50.06082,150,13.76,0.00065468,2,two
she,50.180945,151,13.1,0.012053,2,two
thought,50.361373,152,12.07,0.021723,1,one
it,50.602707,153,15.37,0.016463,2,two
over,50.724997,154,13.02,0.018549,2,two
afterwards,51.051973,155,8.92,0.0021969,5,three+
it,51.722449,156,15.37,0.019087,2,two
occurred,51.818232,157,9.388,0.016224,1,one
to,52.213334,158,16.35,0.000094983,1,one
her,52.333062,159,13.3,1.1057E-06,3,three+
that,52.553259,160,15.48,6.8221E-07,1,one
she,52.92836,161,13.1,0.018372,2,two
ought,53.150214,162,9.63,0.0097558,1,one
to,53.386667,163,16.35,0.015999,1,one
have,53.557126,164,14.92,0.0018126,1,one
wondered,53.793742,165,9.12,4.6876E-07,1,one
at,54.12898,166,14.5,0.007633,1,one
this,54.368436,167,14.99,0.01382,12,three+
but,54.691701,168,14.57,0.012424,1,one
at,54.823402,169,14.5,0.0065832,1,one
the,55.050885,170,16.96,0.0057508,1,one
time,55.146667,171,13.58,2.2591E-06,3,three+
it,55.626219,172,15.37,0.0078443,2,two
all,55.734441,173,14.35,0.0030614,2,two
seemed,55.885951,174,10.54,0.00021283,1,one
quite,56.195464,175,11.95,0.000083472,1,one
natural,56.439728,176,10.72,0.00048272,6,three+
but,0.479839572,177,14.57,4.1601E-09,1,one
when,0.592424402,178,13.76,4.2813E-09,2,two
the,0.810806402,179,16.96,3.6109E-09,1,one
Rabbit,0.912952402,180,8.66,4.0829E-09,2,two
actually,1.415810402,181,12.19,3.8481E-09,2,two
took,1.918667402,182,11.38,4.2653E-09,1,one
a,2.385605402,183,16.18,3.3935E-09,1,one
watch,2.557777402,184,10.95,3.8617E-09,2,two
out,3.211728402,185,13.9,3.8785E-09,2,two
of,3.431803402,186,16.21,4.0098E-09,1,one
its,3.595218402,187,12.87,3.925E-09,1,one
waistcoat,3.790771402,188,4.078,3.7962E-09,1,one
pocket,4.384907402,189,9.28,3.9583E-09,4,three+
and,5.637331402,190,16.19,3.8752E-09,1,one
looked,5.747717402,191,11.07,3.8811E-09,1,one
at,6.073224402,192,14.5,3.8123E-09,1,one
it,6.286257402,193,15.37,3.9875E-09,4,three+
and,6.887374402,194,16.19,3.9119E-09,1,one
then,6.992943402,195,13.47,4.0187E-09,2,two
hurried,7.150775402,196,6.41,3.7396E-09,1,one
on,7.541223402,197,15.08,3.6531E-09,6,three+
Alice,8.467782402,198,8.65,3.6725E-09,2,two
started,8.946694402,199,11.5,3.9317E-09,1,one
to,9.365741402,200,16.35,3.6957E-09,1,one
her,9.557306402,201,13.3,3.6176E-09,1,one
feet,9.696188402,202,10.6,3.7021E-09,3,three+
for,10.1080544,203,15.42,3.6096E-09,1,one
it,10.3256874,204,15.37,3.9199E-09,2,two
flashed,10.4425664,205,6.98,4.0765E-09,1,one
across,10.8503674,206,11.04,4.1897E-09,1,one
her,11.3053334,207,13.3,3.5104E-09,1,one
mind,11.3771704,208,11.78,3.9664E-09,3,three+
that,12.1913204,209,15.48,4.0727E-09,1,one
she,12.3150514,210,13.1,3.7388E-09,2,two
’d,12.4278374,211,13.53,3.7646E-09,1,one
never,12.5354954,212,12.62,3.4661E-09,2,two
